Business Name,Vertical,Phone,Address,Area,Notes,Source,Called (Y/N),Call Date,Outcome
Nemichand Bamalwa & Sons,Jewellery,+91 98302 12771,"Siddha Point, 101 Park Street, 1st Floor, Kolkata 700016",Park Street,Established heritage jeweller; single flagship location,https://ncbjeweller.com/contact,,,
B.C. Sen Jewellers,Jewellery,+91 98310 33356 (WhatsApp),Multiple locations incl. Gariahat & Behala,Gariahat / Behala,"Appointment-based; no public landline listed, only WhatsApp",https://www.bcsenjewellers.com/,,,
Adyama Gold Jewellery (Gariahat),Jewellery,9830330106,"226C Rashbehari Avenue, Gariahat, Kolkata",Gariahat,"Regional chain, ~17 branches across Kolkata & West Bengal; contacting HQ branch",https://adyamagold.com/branches,,,
H.K. Dutta & Co Jewellers (Bowbazar),Jewellery,9331204035,"106 B B Ganguly Street, Bowbazar, Kolkata 700012",Bowbazar,"Independent, family-run since 1950; 3 branches (Bowbazar/Garia/Behala)",https://hkduttajewellers.in/contact-us/,,,
Apti Plus IAS Coaching,Coaching Institute,081007 65577,"Room 302, Elgin Chambers, 1A Ashutosh Mukherjee Rd, Kolkata 700020",Bhowanipore area,Civil services (IAS/WBCS) coaching; award-recognised local institute,Web search (Sulekha/Google listing),,,
Chahal Academy,Coaching Institute,072850 11227,"Sunidhi Building, 120 Lenin Sarani Rd, Taltala, Kolkata 700013",Taltala,Independent coaching institute,Web search (Google listing),,,
GEO IAS,Coaching Institute,079031 18365,"CK-85, behind HP petrol pump, CK Block Sec-II, Bidhannagar, Kolkata 700091",Salt Lake / Bidhannagar,Civil services coaching,Web search (Google listing),,,
TICS IAS Institute,Coaching Institute,081000 08011,"YMCA Building, 113 Vivekananda Rd, Manicktala, Kolkata 700006",Manicktala,Civil services coaching,Web search (Google listing),,,
Avision IAS Coaching,Coaching Institute,090884 79999,"2nd Floor, Moulali Plaza, 95E Lenin Sarani Rd, Taltala, Kolkata 700013",Taltala,Civil services coaching,Web search (Google listing),,,
Saptapadi (Hindustan Park),Restaurant,9831611210,"49B Purna Das Road, Hindustan Park, near Gariahat, Kolkata",Gariahat,Bengali cuisine restaurant; 2 branches,Web search (blog/directory listing),,,
Saptapadi (Bagha Jatin),Restaurant,9007912433,"G 40A Bagha Jatin, near Ganguli Bagan PO, Jadavpur, Kolkata",Jadavpur,Second branch of Saptapadi,Web search (blog/directory listing),,,
The Bhoj Company,Restaurant,(033) 4006-6003,"30A Free School Street, New Market Area, Kolkata",New Market,Independent casual-dining Bengali restaurant,Web search (blog/directory listing),,,
India Restaurant (Khidderpore),Restaurant,84818 48484,"Beside Fancy Market, Khidirpur, Kolkata",Khidirpur,Independent restaurant,https://www.justdial.com listing (name/area public),,,
India Restaurant (Kaikhali),Restaurant,99039 80011,"Kaikhali, Kolkata",Kaikhali,Second branch of India Restaurant,https://www.justdial.com listing (name/area public),,,
Amber Bar & Restaurant,Restaurant,033 22483018 / 22486746 / 22486520,"11 Waterloo Street, Kolkata",Waterloo Street / BBD Bagh,Long-established independent restaurant,Kolkata restaurants list PDF (kolkatacitytours.com),,,
